0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.277,0.808,0.27,0.815,0.27,0.815,0.27,0.816,0.269,0.819,0.269,0.823,0.269,0.827,0.274,0.836,0.273,0.848,0.285,0.81,0.285,0.816,0.307,0.821,0.306,0.876,0.254,0.776,0.247,0.851,0.191,0.81,0.173,0.849,0.173,0.82,0.153,0.85,0.17,0.825,0.152,0.854,0.176,0.824,0.159,0.852,0.452,0.805,0.456,0.837,0.437,0.636,0.438,0.646,0.477,0.46,0.481,0.457,0.504,0.436,0.508,0.431,0.444,0.393,0.446,0.386,0.307,0.839,0.306,0.858,0.306,0.848,0.29,0.838,0.29,0.853,0.29,0.845,0.27,0.819,0.285,0.813,0.293,0.818,0.249,0.827
0.276,0.808,0.269,0.815,0.269,0.816,0.269,0.817,0.269,0.82,0.269,0.824,0.269,0.829,0.274,0.838,0.273,0.85,0.284,0.811,0.285,0.817,0.308,0.826,0.306,0.876,0.254,0.784,0.242,0.848,0.191,0.811,0.172,0.848,0.173,0.82,0.152,0.847,0.171,0.825,0.152,0.85,0.177,0.824,0.159,0.85,0.452,0.806,0.457,0.837,0.436,0.636,0.437,0.647,0.476,0.463,0.479,0.462,0.499,0.437,0.501,0.436,0.444,0.395,0.446,0.391,0.307,0.843,0.307,0.859,0.307,0.851,0.291,0.84,0.29,0.855,0.29,0.848,0.269,0.82,0.284,0.814,0.293,0.82,0.249,0.828
0.275,0.808,0.268,0.816,0.268,0.817,0.268,0.818,0.268,0.821,0.268,0.825,0.268,0.83,0.273,0.839,0.272,0.851,0.284,0.812,0.284,0.818,0.309,0.829,0.306,0.876,0.254,0.787,0.24,0.847,0.191,0.812,0.172,0.848,0.174,0.82,0.152,0.845,0.171,0.825,0.152,0.848,0.177,0.824,0.159,0.848,0.452,0.806,0.457,0.837,0.436,0.636,0.437,0.647,0.475,0.464,0.478,0.464,0.496,0.439,0.499,0.438,0.445,0.397,0.446,0.394,0.308,0.845,0.307,0.86,0.308,0.852,0.29,0.842,0.29,0.856,0.29,0.849,0.268,0.821,0.284,0.815,0.293,0.822,0.247,0.829
0.275,0.808,0.268,0.816,0.268,0.817,0.268,0.818,0.268,0.821,0.268,0.826,0.268,0.83,0.273,0.839,0.272,0.852,0.284,0.812,0.284,0.818,0.31,0.829,0.306,0.875,0.254,0.787,0.24,0.843,0.191,0.809,0.172,0.844,0.174,0.815,0.152,0.84,0.172,0.822,0.152,0.842,0.178,0.822,0.159,0.843,0.452,0.806,0.457,0.837,0.435,0.636,0.437,0.647,0.474,0.465,0.477,0.464,0.494,0.439,0.497,0.438,0.445,0.398,0.445,0.395,0.309,0.844,0.307,0.86,0.308,0.852,0.291,0.842,0.29,0.856,0.29,0.849,0.268,0.821,0.284,0.815,0.293,0.822,0.247,0.83
0.275,0.807,0.268,0.815,0.268,0.816,0.268,0.817,0.268,0.82,0.267,0.825,0.267,0.829,0.273,0.839,0.272,0.851,0.283,0.811,0.284,0.816,0.31,0.829,0.306,0.873,0.254,0.787,0.24,0.834,0.191,0.797,0.174,0.827,0.174,0.799,0.153,0.823,0.172,0.806,0.154,0.826,0.179,0.808,0.161,0.828,0.452,0.807,0.457,0.837,0.435,0.635,0.436,0.646,0.473,0.465,0.477,0.464,0.493,0.439,0.497,0.438,0.445,0.398,0.445,0.395,0.309,0.844,0.307,0.858,0.308,0.851,0.291,0.841,0.29,0.855,0.29,0.848,0.268,0.82,0.284,0.814,0.292,0.82,0.247,0.83
0.275,0.801,0.268,0.807,0.268,0.807,0.268,0.808,0.268,0.812,0.267,0.816,0.267,0.821,0.273,0.831,0.272,0.843,0.284,0.806,0.284,0.811,0.31,0.829,0.305,0.871,0.258,0.784,0.241,0.821,0.195,0.776,0.177,0.802,0.178,0.776,0.158,0.797,0.176,0.78,0.158,0.799,0.181,0.781,0.165,0.801,0.452,0.807,0.457,0.837,0.434,0.635,0.436,0.645,0.473,0.465,0.476,0.464,0.493,0.439,0.497,0.438,0.445,0.398,0.445,0.395,0.308,0.843,0.307,0.857,0.308,0.85,0.291,0.837,0.289,0.85,0.29,0.843,0.268,0.812,0.284,0.808,0.293,0.816,0.246,0.815
0.277,0.795,0.269,0.801,0.269,0.802,0.269,0.803,0.269,0.806,0.268,0.81,0.268,0.815,0.273,0.824,0.272,0.836,0.285,0.8,0.285,0.805,0.312,0.827,0.305,0.87,0.266,0.766,0.248,0.802,0.207,0.741,0.186,0.766,0.19,0.731,0.169,0.756,0.187,0.738,0.168,0.758,0.193,0.743,0.174,0.761,0.452,0.807,0.457,0.837,0.434,0.635,0.436,0.645,0.472,0.463,0.476,0.464,0.493,0.434,0.497,0.437,0.444,0.397,0.445,0.395,0.31,0.841,0.307,0.856,0.308,0.848,0.291,0.833,0.29,0.846,0.29,0.839,0.268,0.806,0.285,0.802,0.293,0.81,0.247,0.811
0.278,0.788,0.269,0.796,0.269,0.797,0.269,0.798,0.269,0.801,0.268,0.805,0.268,0.81,0.274,0.816,0.272,0.83,0.286,0.793,0.286,0.797,0.316,0.817,0.308,0.865,0.273,0.743,0.264,0.777,0.22,0.709,0.204,0.72,0.203,0.702,0.189,0.708,0.2,0.706,0.188,0.714,0.206,0.709,0.194,0.718,0.454,0.805,0.458,0.837,0.434,0.635,0.435,0.645,0.472,0.463,0.476,0.467,0.493,0.437,0.496,0.441,0.444,0.395,0.445,0.394,0.313,0.833,0.311,0.849,0.312,0.841,0.294,0.824,0.291,0.839,0.292,0.832,0.268,0.801,0.286,0.795,0.294,0.802,0.246,0.809
0.278,0.784,0.269,0.792,0.269,0.793,0.269,0.794,0.269,0.797,0.268,0.801,0.268,0.806,0.274,0.811,0.272,0.827,0.286,0.789,0.286,0.793,0.317,0.811,0.309,0.863,0.273,0.737,0.268,0.772,0.221,0.703,0.206,0.719,0.205,0.697,0.189,0.708,0.203,0.701,0.189,0.713,0.207,0.704,0.194,0.716,0.455,0.804,0.459,0.837,0.434,0.635,0.435,0.646,0.472,0.462,0.476,0.466,0.491,0.438,0.496,0.442,0.442,0.396,0.443,0.394,0.314,0.828,0.312,0.846,0.313,0.837,0.294,0.82,0.292,0.836,0.293,0.828,0.268,0.797,0.286,0.791,0.294,0.798,0.246,0.805
0.279,0.776,0.27,0.782,0.27,0.783,0.27,0.784,0.27,0.787,0.269,0.791,0.269,0.796,0.274,0.802,0.273,0.819,0.289,0.783,0.288,0.788,0.32,0.811,0.312,0.859,0.283,0.731,0.284,0.748,0.236,0.686,0.226,0.681,0.22,0.672,0.212,0.666,0.219,0.674,0.209,0.67,0.223,0.677,0.212,0.675,0.457,0.804,0.46,0.836,0.434,0.634,0.435,0.645,0.472,0.458,0.476,0.461,0.494,0.436,0.499,0.441,0.442,0.395,0.443,0.392,0.317,0.827,0.315,0.843,0.316,0.835,0.296,0.814,0.294,0.831,0.295,0.823,0.27,0.787,0.288,0.786,0.298,0.795,0.245,0.789
0.285,0.769,0.275,0.772,0.275,0.772,0.275,0.772,0.275,0.776,0.275,0.78,0.274,0.785,0.277,0.791,0.276,0.81,0.294,0.776,0.293,0.781,0.324,0.808,0.315,0.857,0.296,0.717,0.302,0.755,0.258,0.655,0.257,0.656,0.246,0.633,0.245,0.63,0.243,0.633,0.241,0.635,0.247,0.64,0.245,0.643,0.457,0.803,0.46,0.835,0.433,0.632,0.435,0.642,0.472,0.451,0.476,0.45,0.495,0.425,0.5,0.428,0.442,0.388,0.443,0.381,0.321,0.824,0.318,0.841,0.32,0.832,0.299,0.808,0.297,0.825,0.298,0.816,0.275,0.776,0.294,0.778,0.302,0.788,0.251,0.773
0.295,0.759,0.284,0.762,0.284,0.762,0.283,0.763,0.284,0.764,0.283,0.767,0.282,0.771,0.284,0.784,0.281,0.797,0.302,0.769,0.302,0.773,0.327,0.806,0.322,0.851,0.314,0.716,0.323,0.741,0.28,0.631,0.282,0.632,0.27,0.598,0.274,0.599,0.268,0.601,0.269,0.603,0.271,0.61,0.271,0.613,0.456,0.8,0.461,0.831,0.432,0.631,0.434,0.642,0.472,0.456,0.475,0.451,0.493,0.433,0.5,0.429,0.441,0.388,0.443,0.382,0.325,0.821,0.324,0.836,0.324,0.828,0.305,0.802,0.302,0.816,0.304,0.81,0.284,0.764,0.302,0.771,0.309,0.783,0.259,0.756
0.3,0.754,0.289,0.753,0.289,0.754,0.288,0.755,0.289,0.756,0.288,0.759,0.287,0.762,0.289,0.773,0.286,0.787,0.307,0.764,0.307,0.769,0.327,0.798,0.327,0.844,0.325,0.7,0.34,0.736,0.304,0.603,0.313,0.616,0.299,0.576,0.306,0.579,0.296,0.573,0.3,0.58,0.298,0.583,0.302,0.591,0.454,0.799,0.461,0.829,0.431,0.631,0.434,0.642,0.469,0.457,0.473,0.451,0.488,0.435,0.495,0.432,0.439,0.388,0.442,0.382,0.327,0.813,0.327,0.829,0.327,0.821,0.308,0.793,0.306,0.808,0.307,0.8,0.288,0.756,0.307,0.766,0.314,0.779,0.264,0.743
