0,1,2,3,4,5,6,7,8,9,10,11
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
1.943,2.768,2.328,2.486,1.592,1.731,2.83,2.824,3.106,0.03,0.522,0.303
2.076,2.729,2.343,2.476,1.615,1.719,2.821,2.813,3.076,0.055,0.405,0.249
2.112,2.713,2.33,2.475,1.636,1.719,2.825,2.816,3.076,0.055,0.363,0.238
2.162,2.675,2.338,2.444,1.632,1.712,2.818,2.822,3.081,0.055,0.321,0.192
2.341,2.714,2.344,2.374,1.626,1.695,2.823,2.811,3.075,0.056,0.263,0.11
2.555,2.767,2.275,2.258,1.62,1.682,2.812,2.815,3.081,0.056,0.162,0.05
2.618,2.794,2.075,2.055,1.608,1.676,2.82,2.815,3.081,0.056,0.125,0.052
2.668,2.794,2.01,1.85,1.54,1.636,2.807,2.796,3.134,0.005,0.189,0.063
2.686,2.701,2.057,1.822,1.498,1.617,2.802,2.793,3.139,0.004,0.128,0.113
2.768,2.675,1.953,1.664,1.487,1.595,2.794,2.792,3.101,0.037,0.094,0.186
2.89,2.842,1.832,1.547,1.469,1.593,2.79,2.802,3.096,0.035,0.123,0.172
2.905,2.773,1.668,1.419,1.476,1.572,2.776,2.788,3.123,0.018,0.021,0.153
2.949,2.8,1.599,1.34,1.427,1.539,2.791,2.797,3.048,0.086,0.008,0.14
2.966,2.778,1.539,1.273,1.361,1.503,2.792,2.798,3.05,0.085,0.07,0.118
2.972,2.796,1.582,1.323,1.341,1.473,2.791,2.802,3.066,0.071,0.054,0.121
3.087,2.908,1.584,1.427,1.325,1.378,2.802,2.789,2.918,0.2,0.098,0.08
3.051,2.958,1.518,1.47,1.3,1.298,2.814,2.799,2.865,0.26,0.059,0.034
3.049,2.892,1.604,1.453,1.168,1.24,2.822,2.796,2.771,0.342,0.108,0.05
3.027,2.922,1.663,1.531,1.067,1.122,2.836,2.802,2.753,0.359,0.058,0.047
3.024,2.934,1.756,1.649,0.937,0.989,2.815,2.805,2.748,0.378,0.051,0.039
3.046,2.898,1.796,1.703,0.881,0.928,2.756,2.798,2.619,0.527,0.096,0.052
3.022,2.893,1.823,1.768,0.813,0.838,2.753,2.791,2.506,0.639,0.098,0.032
2.999,2.909,1.86,1.808,0.728,0.779,2.74,2.78,2.497,0.655,0.077,0.013
3.024,2.913,1.928,1.832,0.685,0.748,2.751,2.772,2.42,0.719,0.081,0.03
3.006,2.975,1.944,1.888,0.663,0.712,2.741,2.775,2.444,0.696,0.025,0.006
3.0,2.926,1.941,1.876,0.671,0.698,2.733,2.776,2.411,0.728,0.039,0.035
3.005,2.914,1.953,1.893,0.669,0.676,2.734,2.787,2.354,0.787,0.039,0.053
2.989,2.914,1.951,1.868,0.689,0.719,2.752,2.799,2.307,0.831,0.025,0.05
2.993,2.903,1.925,1.873,0.739,0.733,2.764,2.799,2.19,0.947,0.036,0.054
2.985,2.927,1.886,1.878,0.785,0.754,2.782,2.798,2.177,0.948,0.035,0.024
2.913,2.899,1.812,1.797,0.843,0.848,2.776,2.787,2.176,0.944,0.026,0.011
2.855,2.86,1.754,1.695,0.874,0.924,2.768,2.783,2.231,0.89,0.007,0.012
2.915,2.854,1.761,1.654,0.923,1.007,2.766,2.774,2.254,0.857,0.068,0.008
2.995,2.871,1.809,1.558,0.994,1.166,2.767,2.781,2.332,0.779,0.077,0.048
3.061,2.887,1.867,1.506,1.061,1.289,2.784,2.788,2.419,0.691,0.072,0.101
3.023,2.886,1.796,1.507,1.18,1.351,2.803,2.783,2.464,0.636,0.061,0.076
3.038,2.871,1.793,1.513,1.26,1.401,2.801,2.786,2.544,0.566,0.06,0.107
3.003,2.867,1.76,1.54,1.34,1.419,2.798,2.771,2.627,0.476,0.032,0.104
3.001,2.876,1.739,1.524,1.365,1.436,2.797,2.757,2.58,0.518,0.024,0.101
2.93,2.849,1.731,1.519,1.407,1.491,2.797,2.739,2.614,0.48,0.001,0.08
2.859,2.832,1.757,1.573,1.447,1.518,2.792,2.744,2.638,0.461,0.044,0.071
2.873,2.823,1.797,1.597,1.494,1.57,2.79,2.746,2.73,0.375,0.038,0.088
2.916,2.835,1.851,1.646,1.524,1.612,2.788,2.764,2.774,0.343,0.01,0.091
2.832,2.74,1.878,1.66,1.537,1.647,2.796,2.771,2.716,0.395,0.014,0.078
2.897,2.782,1.918,1.669,1.546,1.662,2.789,2.767,2.78,0.337,0.007,0.108
2.772,2.812,1.942,1.735,1.545,1.684,2.783,2.774,2.875,0.249,0.09,0.05
2.581,2.952,1.97,1.884,1.552,1.694,2.771,2.763,2.93,0.194,0.298,0.073
2.518,2.839,1.987,1.907,1.572,1.706,2.781,2.767,2.988,0.135,0.247,0.074
2.433,2.798,2.05,2.054,1.582,1.688,2.79,2.771,3.054,0.071,0.239,0.126
2.374,2.693,2.128,2.142,1.615,1.699,2.79,2.772,3.06,0.065,0.205,0.114
2.441,2.706,2.141,2.11,1.628,1.712,2.807,2.781,3.054,0.064,0.188,0.077
2.241,2.775,2.209,2.282,1.632,1.718,2.806,2.781,3.061,0.058,0.352,0.181
2.187,2.808,2.313,2.421,1.635,1.721,2.814,2.8,3.094,0.035,0.415,0.206
2.058,2.667,2.323,2.419,1.642,1.723,2.812,2.799,3.099,0.031,0.421,0.189
1.989,2.71,2.368,2.552,1.648,1.709,2.812,2.789,3.087,0.036,0.458,0.263
2.018,2.701,2.386,2.59,1.663,1.709,2.813,2.795,3.08,0.042,0.413,0.27
2.055,2.727,2.426,2.624,1.657,1.714,2.813,2.81,3.104,0.028,0.406,0.265
2.091,2.756,2.426,2.598,1.663,1.712,2.823,2.81,3.098,0.028,0.427,0.237
2.07,2.757,2.367,2.561,1.663,1.707,2.811,2.804,3.098,0.028,0.433,0.254
