0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0
3.104,2.916,0.13,0.177,3.085,3.014,3.13,3.091,1.477,1.694,0.11,0.152
3.097,2.917,0.134,0.177,3.089,3.015,3.13,3.09,1.494,1.677,0.109,0.16
3.097,2.915,0.136,0.176,3.082,3.015,3.119,3.09,1.535,1.642,0.11,0.16
3.089,2.92,0.149,0.173,3.078,3.019,3.119,3.09,1.571,1.606,0.105,0.17
3.025,2.884,0.196,0.159,3.065,3.039,3.119,3.106,1.576,1.601,0.163,0.211
2.963,2.774,0.248,0.171,3.052,3.039,3.12,3.124,1.652,1.539,0.269,0.277
2.9,2.589,0.301,0.182,3.017,3.022,3.099,3.134,1.696,1.536,0.465,0.329
2.848,2.573,0.331,0.179,3.008,3.009,3.094,3.14,1.703,1.545,0.513,0.349
2.847,2.282,0.35,0.183,3.003,2.976,3.089,3.128,1.706,1.586,0.774,0.38
2.81,1.785,0.346,0.195,2.996,2.958,3.073,3.136,1.731,1.597,1.29,0.399
2.101,1.279,0.352,0.19,2.982,2.918,3.066,3.104,1.794,1.591,2.502,0.401
0.766,1.059,0.363,0.167,2.945,2.887,3.02,3.069,1.793,1.658,2.213,0.388
0.277,0.896,0.354,0.148,2.916,2.865,2.972,3.031,1.81,1.7,1.541,0.368
0.206,0.866,0.323,0.142,2.911,2.86,2.957,3.03,1.839,1.681,1.402,0.331
0.213,0.785,0.318,0.136,2.886,2.857,2.93,3.004,1.847,1.707,1.324,0.326
0.206,0.763,0.304,0.125,2.831,2.833,2.865,2.953,1.892,1.735,1.265,0.296
0.241,0.661,0.296,0.128,2.784,2.801,2.829,2.879,1.908,1.788,1.183,0.281
0.218,0.565,0.256,0.119,2.742,2.765,2.783,2.805,1.913,1.858,1.012,0.229
0.211,0.58,0.224,0.11,2.679,2.744,2.727,2.759,1.952,1.898,0.975,0.184
0.23,0.599,0.232,0.098,2.668,2.734,2.715,2.748,1.964,1.904,1.003,0.174
0.243,0.564,0.21,0.102,2.623,2.706,2.672,2.696,2.006,1.935,0.965,0.158
0.241,0.544,0.203,0.097,2.562,2.676,2.615,2.654,2.047,1.976,0.923,0.138
0.269,0.533,0.204,0.095,2.486,2.659,2.55,2.628,2.113,1.997,0.93,0.128
0.256,0.528,0.213,0.111,2.422,2.603,2.485,2.556,2.161,2.069,0.939,0.155
0.256,0.549,0.217,0.108,2.358,2.571,2.418,2.522,2.212,2.112,0.958,0.153
0.272,0.571,0.223,0.106,2.36,2.59,2.431,2.553,2.238,2.054,0.99,0.147
0.265,0.57,0.218,0.108,2.326,2.553,2.399,2.512,2.254,2.106,0.975,0.14
0.257,0.584,0.223,0.122,2.249,2.47,2.312,2.418,2.324,2.2,1.004,0.163
0.257,0.584,0.237,0.127,2.186,2.421,2.246,2.367,2.373,2.26,1.02,0.179
0.275,0.562,0.24,0.119,2.09,2.374,2.156,2.313,2.446,2.324,1.005,0.168
0.265,0.56,0.239,0.125,2.019,2.304,2.07,2.242,2.509,2.404,0.999,0.174
0.269,0.576,0.234,0.121,2.017,2.281,2.07,2.225,2.477,2.454,1.005,0.159
0.255,0.589,0.237,0.124,1.965,2.216,2.014,2.17,2.531,2.51,1.003,0.158
0.259,0.607,0.236,0.133,1.917,2.186,1.966,2.14,2.572,2.54,1.025,0.159
0.27,0.593,0.23,0.133,1.885,2.154,1.935,2.108,2.588,2.585,1.015,0.151
0.276,0.587,0.229,0.134,1.834,2.121,1.884,2.075,2.655,2.602,1.014,0.151
0.283,0.582,0.23,0.134,1.808,2.087,1.857,2.04,2.665,2.652,1.016,0.151
0.278,0.578,0.23,0.141,1.82,2.095,1.87,2.054,2.65,2.639,1.007,0.151
0.295,0.562,0.229,0.142,1.808,2.083,1.857,2.043,2.663,2.65,1.008,0.151
0.297,0.551,0.228,0.142,1.821,2.083,1.87,2.043,2.65,2.65,0.998,0.149
0.289,0.541,0.228,0.142,1.846,2.105,1.889,2.065,2.624,2.628,0.98,0.149
0.298,0.542,0.234,0.141,1.861,2.139,1.902,2.096,2.604,2.596,0.989,0.149
0.305,0.552,0.231,0.14,1.857,2.15,1.902,2.106,2.621,2.569,0.999,0.142
0.313,0.552,0.226,0.14,1.853,2.15,1.902,2.106,2.621,2.569,0.999,0.134
0.328,0.58,0.241,0.13,1.874,2.164,1.927,2.113,2.596,2.556,1.046,0.137
0.355,0.632,0.241,0.143,1.933,2.269,1.993,2.197,2.587,2.423,1.159,0.172
0.384,0.729,0.265,0.149,2.049,2.381,2.11,2.302,2.503,2.289,1.324,0.211
0.486,0.889,0.295,0.145,2.187,2.467,2.242,2.384,2.388,2.191,1.623,0.248
1.514,1.224,0.361,0.144,2.315,2.538,2.366,2.453,2.297,2.099,3.067,0.33
1.697,1.218,0.354,0.148,2.354,2.539,2.4,2.465,2.263,2.093,3.042,0.326
2.451,1.546,0.388,0.157,2.435,2.592,2.486,2.515,2.193,2.034,1.912,0.374
2.734,1.967,0.421,0.186,2.539,2.628,2.563,2.552,2.126,1.988,1.119,0.463
2.82,2.305,0.421,0.198,2.639,2.672,2.649,2.623,2.04,1.94,0.672,0.485
2.832,2.503,0.418,0.189,2.675,2.745,2.695,2.726,2.044,1.828,0.474,0.474
2.857,2.652,0.431,0.185,2.71,2.794,2.759,2.818,1.98,1.793,0.306,0.468
2.881,2.657,0.427,0.186,2.697,2.816,2.756,2.858,1.987,1.773,0.283,0.462
2.871,2.762,0.422,0.183,2.76,2.854,2.808,2.931,1.898,1.772,0.185,0.465
2.923,2.87,0.384,0.173,2.824,2.886,2.882,3.009,1.852,1.723,0.073,0.417
2.955,2.925,0.357,0.19,2.898,2.917,2.964,3.097,1.821,1.651,0.006,0.409
2.983,2.96,0.327,0.205,2.948,2.927,3.016,3.121,1.781,1.631,0.054,0.394
3.003,2.956,0.293,0.224,2.986,2.938,3.05,3.103,1.715,1.646,0.052,0.376
3.026,2.974,0.281,0.227,2.99,2.94,3.062,3.115,1.711,1.639,0.079,0.362
3.007,2.973,0.29,0.24,2.996,2.975,3.061,3.123,1.707,1.599,0.078,0.382
2.979,2.973,0.303,0.253,3.003,3.002,3.072,3.113,1.681,1.584,0.069,0.4
2.962,2.99,0.304,0.248,3.025,3.029,3.093,3.091,1.63,1.587,0.068,0.399
2.968,3.004,0.299,0.255,3.025,3.06,3.088,3.099,1.613,1.568,0.084,0.396
2.994,3.032,0.278,0.24,3.038,3.086,3.098,3.106,1.603,1.538,0.102,0.359
3.006,3.032,0.262,0.241,3.047,3.081,3.103,3.101,1.581,1.561,0.102,0.347
3.028,3.032,0.254,0.239,3.055,3.093,3.108,3.114,1.576,1.541,0.11,0.333
3.031,3.03,0.242,0.231,3.075,3.096,3.112,3.129,1.53,1.567,0.095,0.316
3.041,3.019,0.229,0.224,3.091,3.089,3.112,3.135,1.525,1.567,0.078,0.301
3.048,3.0,0.219,0.221,3.095,3.075,3.106,3.108,1.507,1.594,0.051,0.287
3.047,2.966,0.216,0.226,3.103,3.066,3.111,3.103,1.485,1.617,0.017,0.288
3.047,2.958,0.216,0.23,3.103,3.057,3.112,3.099,1.465,1.641,0.009,0.288
3.063,2.965,0.206,0.218,3.103,3.058,3.112,3.105,1.483,1.618,0.007,0.262
3.064,2.934,0.2,0.216,3.107,3.059,3.112,3.105,1.465,1.636,0.027,0.258
3.057,2.926,0.199,0.214,3.107,3.054,3.112,3.099,1.465,1.641,0.045,0.256
3.065,2.918,0.191,0.218,3.107,3.045,3.112,3.094,1.482,1.63,0.053,0.248
3.059,2.916,0.19,0.209,3.12,3.04,3.117,3.078,1.46,1.651,0.062,0.246
3.05,2.923,0.19,0.207,3.12,3.036,3.116,3.083,1.46,1.651,0.071,0.239
3.041,2.914,0.192,0.21,3.132,3.022,3.114,3.073,1.438,1.679,0.08,0.248
3.04,2.911,0.193,0.204,3.127,3.022,3.103,3.073,1.461,1.661,0.09,0.243
3.033,2.876,0.196,0.207,3.139,3.01,3.113,3.068,1.438,1.684,0.125,0.25
3.018,2.778,0.218,0.216,3.137,3.002,3.127,3.069,1.446,1.692,0.202,0.285
2.947,2.556,0.269,0.228,3.121,2.993,3.125,3.064,1.482,1.68,0.433,0.348
2.913,2.513,0.292,0.234,3.111,2.984,3.115,3.059,1.509,1.667,0.485,0.372
2.876,2.141,0.334,0.224,3.086,2.975,3.124,3.055,1.494,1.713,0.865,0.401
2.731,1.499,0.4,0.223,3.037,2.98,3.097,3.055,1.543,1.713,1.583,0.471
