0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.406,0.181,0.409,0.163,0.411,0.163,0.413,0.162,0.407,0.163,0.407,0.163,0.407,0.162,0.427,0.163,0.42,0.164,0.413,0.194,0.411,0.194,0.456,0.235,0.435,0.251,0.49,0.336,0.444,0.364,0.443,0.409,0.412,0.408,0.433,0.432,0.399,0.423,0.426,0.421,0.397,0.413,0.428,0.414,0.401,0.408,0.445,0.472,0.44,0.475,0.435,0.633,0.451,0.643,0.521,0.57,0.488,0.804,0.526,0.547,0.503,0.83,0.553,0.617,0.448,0.843,0.449,0.24,0.442,0.246,0.446,0.243,0.438,0.202,0.431,0.205,0.434,0.203,0.409,0.163,0.412,0.194,0.418,0.207,0.405,0.123
0.409,0.183,0.411,0.166,0.413,0.165,0.414,0.164,0.41,0.167,0.41,0.166,0.41,0.166,0.428,0.164,0.423,0.164,0.415,0.196,0.413,0.196,0.461,0.236,0.441,0.251,0.494,0.337,0.451,0.36,0.44,0.4,0.421,0.404,0.429,0.421,0.41,0.419,0.423,0.41,0.408,0.407,0.426,0.403,0.413,0.404,0.467,0.478,0.46,0.483,0.417,0.634,0.458,0.652,0.519,0.571,0.494,0.813,0.525,0.547,0.509,0.84,0.55,0.614,0.452,0.849,0.454,0.241,0.448,0.246,0.451,0.244,0.441,0.202,0.435,0.205,0.438,0.204,0.412,0.166,0.414,0.196,0.419,0.209,0.408,0.126
0.406,0.182,0.409,0.165,0.411,0.163,0.413,0.162,0.407,0.166,0.407,0.165,0.407,0.165,0.427,0.16,0.419,0.163,0.414,0.194,0.411,0.195,0.459,0.232,0.435,0.249,0.493,0.337,0.45,0.36,0.435,0.387,0.419,0.396,0.421,0.405,0.407,0.402,0.415,0.39,0.405,0.388,0.418,0.386,0.41,0.387,0.471,0.478,0.462,0.482,0.438,0.633,0.462,0.648,0.529,0.594,0.495,0.812,0.542,0.566,0.51,0.841,0.552,0.663,0.453,0.849,0.451,0.238,0.443,0.243,0.447,0.24,0.439,0.199,0.431,0.203,0.435,0.201,0.409,0.164,0.412,0.194,0.419,0.207,0.404,0.124
0.4,0.162,0.405,0.146,0.406,0.145,0.408,0.144,0.403,0.146,0.404,0.146,0.404,0.145,0.421,0.146,0.416,0.147,0.407,0.177,0.405,0.178,0.452,0.218,0.435,0.235,0.488,0.316,0.461,0.335,0.43,0.365,0.422,0.388,0.417,0.381,0.413,0.4,0.412,0.367,0.41,0.394,0.416,0.361,0.413,0.39,0.473,0.465,0.465,0.467,0.439,0.617,0.46,0.638,0.524,0.632,0.491,0.804,0.543,0.622,0.506,0.832,0.538,0.706,0.453,0.849,0.446,0.224,0.441,0.229,0.444,0.226,0.434,0.185,0.428,0.188,0.431,0.186,0.405,0.146,0.406,0.178,0.412,0.193,0.404,0.104
0.397,0.145,0.4,0.129,0.402,0.128,0.404,0.127,0.399,0.129,0.4,0.129,0.4,0.128,0.417,0.126,0.413,0.127,0.404,0.159,0.403,0.159,0.448,0.199,0.437,0.214,0.478,0.304,0.462,0.318,0.423,0.339,0.439,0.391,0.409,0.355,0.433,0.407,0.405,0.339,0.43,0.403,0.409,0.334,0.431,0.397,0.47,0.449,0.469,0.45,0.438,0.606,0.46,0.611,0.514,0.661,0.49,0.794,0.538,0.663,0.505,0.82,0.521,0.747,0.462,0.844,0.444,0.204,0.441,0.209,0.442,0.207,0.431,0.165,0.427,0.168,0.429,0.166,0.401,0.128,0.404,0.159,0.41,0.173,0.398,0.089
0.395,0.134,0.398,0.117,0.4,0.116,0.402,0.115,0.397,0.117,0.398,0.117,0.398,0.116,0.415,0.114,0.411,0.115,0.403,0.148,0.401,0.148,0.444,0.183,0.437,0.201,0.471,0.289,0.459,0.309,0.417,0.32,0.422,0.334,0.404,0.333,0.412,0.343,0.4,0.321,0.41,0.334,0.404,0.315,0.412,0.33,0.469,0.439,0.467,0.44,0.445,0.603,0.45,0.557,0.505,0.736,0.471,0.663,0.525,0.746,0.484,0.681,0.49,0.813,0.445,0.705,0.442,0.189,0.439,0.195,0.44,0.192,0.428,0.152,0.425,0.155,0.427,0.153,0.399,0.116,0.402,0.148,0.409,0.162,0.395,0.076
0.394,0.13,0.397,0.113,0.399,0.112,0.401,0.111,0.396,0.113,0.397,0.112,0.398,0.111,0.413,0.111,0.41,0.111,0.401,0.145,0.4,0.145,0.443,0.182,0.434,0.201,0.47,0.288,0.455,0.308,0.417,0.317,0.416,0.332,0.403,0.33,0.405,0.342,0.4,0.317,0.403,0.332,0.404,0.313,0.406,0.327,0.468,0.437,0.468,0.436,0.444,0.605,0.449,0.541,0.503,0.747,0.475,0.631,0.523,0.755,0.486,0.644,0.485,0.823,0.454,0.671,0.44,0.188,0.437,0.195,0.438,0.192,0.426,0.15,0.424,0.153,0.425,0.151,0.398,0.112,0.4,0.145,0.407,0.16,0.395,0.069
0.393,0.127,0.396,0.11,0.398,0.109,0.399,0.108,0.396,0.11,0.396,0.109,0.397,0.108,0.412,0.109,0.41,0.109,0.4,0.142,0.399,0.143,0.441,0.18,0.432,0.197,0.467,0.289,0.455,0.305,0.414,0.315,0.427,0.355,0.402,0.327,0.416,0.375,0.398,0.313,0.406,0.348,0.402,0.309,0.414,0.349,0.466,0.438,0.466,0.437,0.446,0.608,0.453,0.569,0.492,0.781,0.507,0.682,0.509,0.802,0.527,0.685,0.455,0.85,0.504,0.736,0.438,0.186,0.435,0.191,0.436,0.188,0.425,0.147,0.422,0.15,0.424,0.149,0.397,0.109,0.4,0.142,0.406,0.158,0.394,0.065
0.392,0.128,0.396,0.11,0.397,0.109,0.399,0.108,0.395,0.11,0.396,0.109,0.397,0.108,0.412,0.11,0.41,0.109,0.4,0.144,0.398,0.145,0.439,0.186,0.434,0.199,0.462,0.297,0.452,0.312,0.406,0.32,0.42,0.337,0.393,0.329,0.41,0.346,0.39,0.313,0.404,0.325,0.396,0.31,0.412,0.324,0.464,0.443,0.459,0.442,0.447,0.614,0.445,0.574,0.478,0.803,0.518,0.632,0.494,0.828,0.532,0.621,0.434,0.863,0.533,0.709,0.437,0.19,0.436,0.195,0.436,0.192,0.425,0.15,0.423,0.152,0.424,0.151,0.396,0.109,0.399,0.144,0.406,0.161,0.393,0.063
0.394,0.135,0.397,0.117,0.399,0.117,0.4,0.116,0.396,0.118,0.397,0.117,0.398,0.116,0.413,0.117,0.41,0.117,0.401,0.151,0.399,0.151,0.439,0.191,0.433,0.203,0.46,0.311,0.448,0.321,0.396,0.325,0.409,0.349,0.382,0.33,0.398,0.353,0.38,0.313,0.393,0.342,0.386,0.312,0.402,0.335,0.46,0.448,0.455,0.446,0.448,0.627,0.442,0.596,0.474,0.816,0.517,0.588,0.489,0.841,0.528,0.565,0.431,0.868,0.538,0.649,0.437,0.195,0.435,0.199,0.436,0.197,0.425,0.156,0.422,0.158,0.424,0.157,0.398,0.117,0.4,0.151,0.406,0.167,0.395,0.073
