0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,0.0,0.0,0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0
2.245,2.433,0.371,0.057,3.126,3.099,0.877,2.981,0.968,2.046,0.057,0.245
2.117,2.452,0.291,0.01,2.807,3.048,0.707,2.91,0.64,2.203,0.11,0.224
1.969,2.296,0.264,0.019,2.883,3.026,0.956,2.943,0.943,1.989,0.148,0.179
1.92,2.253,0.267,0.126,2.837,2.984,1.525,2.928,1.106,1.845,0.235,0.098
1.859,2.6,0.191,0.101,2.853,2.951,1.996,2.923,0.584,2.412,0.699,0.042
1.843,1.964,0.152,0.076,2.899,2.872,2.572,2.802,0.962,2.179,0.073,0.048
1.822,1.929,0.152,0.05,2.902,2.819,2.606,2.681,3.0,0.179,0.051,0.056
1.793,2.421,0.138,0.069,2.928,2.903,2.765,2.598,3.024,0.098,0.604,0.024
1.756,2.076,0.107,0.055,2.946,2.933,2.88,2.137,1.669,1.479,0.273,0.046
1.613,2.067,0.092,0.036,2.993,2.965,2.938,1.378,1.884,1.277,0.407,0.047
1.422,1.811,0.028,0.012,2.976,2.995,2.878,1.012,2.264,0.862,0.425,0.036
1.252,2.005,0.095,0.019,2.974,2.974,2.857,0.668,2.767,0.388,0.816,0.063
1.196,1.908,0.113,0.026,2.964,2.956,2.843,0.619,2.575,0.599,0.775,0.062
1.204,1.884,0.117,0.042,2.968,2.883,2.833,0.677,2.794,0.454,0.735,0.054
1.275,2.065,0.095,0.005,2.997,2.886,2.904,0.848,2.073,1.23,0.83,0.04
1.413,2.623,0.07,0.041,3.016,2.894,2.949,1.249,1.741,1.56,1.283,0.073
1.751,2.91,0.023,0.063,3.025,2.884,2.965,2.207,1.968,1.339,1.22,0.061
1.902,2.994,0.054,0.111,3.01,2.893,2.822,2.602,1.988,1.271,1.148,0.056
1.924,2.985,0.092,0.114,2.98,2.901,2.732,2.692,1.494,1.717,1.091,0.031
2.072,2.929,0.132,0.139,2.963,2.919,2.452,2.812,1.152,2.012,0.886,0.029
1.971,2.416,0.17,0.135,2.939,2.93,1.842,2.935,1.449,1.679,0.432,0.013
2.117,2.366,0.2,0.142,2.967,2.953,1.263,2.982,2.152,1.016,0.232,0.017
2.09,2.29,0.245,0.11,2.952,2.927,1.796,1.012,2.608,0.559,0.115,0.085
2.077,2.237,0.248,0.094,2.917,2.905,2.736,1.086,2.937,0.237,0.051,0.11
