0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.466,0.131,0.473,0.118,0.475,0.118,0.477,0.118,0.47,0.117,0.471,0.117,0.471,0.116,0.488,0.127,0.481,0.125,0.47,0.149,0.467,0.147,0.496,0.203,0.49,0.215,0.502,0.328,0.486,0.327,0.441,0.328,0.451,0.312,0.427,0.335,0.442,0.308,0.425,0.319,0.435,0.295,0.43,0.316,0.44,0.297,0.493,0.454,0.49,0.457,0.467,0.612,0.436,0.572,0.517,0.774,0.473,0.696,0.537,0.798,0.483,0.706,0.482,0.81,0.457,0.782,0.494,0.207,0.492,0.211,0.493,0.209,0.491,0.167,0.486,0.168,0.489,0.168,0.473,0.118,0.468,0.148,0.471,0.165,0.479,0.078
0.468,0.134,0.475,0.118,0.477,0.12,0.479,0.121,0.473,0.12,0.473,0.12,0.474,0.12,0.492,0.135,0.485,0.127,0.472,0.15,0.469,0.149,0.497,0.22,0.492,0.223,0.481,0.341,0.485,0.339,0.426,0.32,0.457,0.379,0.411,0.321,0.448,0.391,0.413,0.305,0.445,0.381,0.419,0.303,0.449,0.377,0.494,0.463,0.484,0.458,0.477,0.633,0.412,0.542,0.52,0.804,0.464,0.659,0.535,0.83,0.477,0.67,0.482,0.842,0.447,0.732,0.495,0.221,0.494,0.222,0.494,0.222,0.494,0.178,0.489,0.174,0.492,0.176,0.475,0.12,0.47,0.15,0.473,0.165,0.481,0.082
0.47,0.147,0.476,0.134,0.478,0.135,0.48,0.136,0.474,0.133,0.475,0.132,0.475,0.131,0.493,0.148,0.486,0.141,0.473,0.164,0.47,0.161,0.495,0.234,0.501,0.233,0.466,0.353,0.488,0.34,0.415,0.319,0.455,0.295,0.399,0.317,0.446,0.278,0.4,0.302,0.445,0.279,0.408,0.301,0.447,0.282,0.491,0.471,0.491,0.465,0.474,0.632,0.411,0.531,0.522,0.814,0.461,0.65,0.536,0.837,0.474,0.66,0.48,0.847,0.442,0.721,0.497,0.234,0.499,0.233,0.498,0.234,0.495,0.191,0.492,0.187,0.494,0.189,0.476,0.134,0.472,0.162,0.473,0.178,0.483,0.096
0.47,0.151,0.476,0.138,0.478,0.139,0.48,0.139,0.474,0.137,0.475,0.136,0.475,0.136,0.493,0.151,0.487,0.146,0.473,0.168,0.471,0.167,0.495,0.236,0.499,0.238,0.463,0.353,0.483,0.339,0.411,0.315,0.448,0.272,0.396,0.311,0.442,0.247,0.396,0.299,0.442,0.249,0.404,0.298,0.442,0.254,0.492,0.473,0.487,0.466,0.48,0.635,0.406,0.523,0.522,0.816,0.459,0.64,0.536,0.84,0.473,0.649,0.482,0.853,0.439,0.704,0.496,0.237,0.498,0.237,0.497,0.237,0.495,0.194,0.492,0.192,0.494,0.193,0.476,0.138,0.472,0.168,0.474,0.184,0.482,0.098
0.471,0.148,0.477,0.136,0.478,0.137,0.48,0.139,0.475,0.134,0.476,0.134,0.476,0.134,0.493,0.147,0.488,0.146,0.474,0.166,0.472,0.165,0.496,0.23,0.499,0.235,0.47,0.35,0.484,0.339,0.416,0.308,0.445,0.284,0.401,0.303,0.436,0.264,0.402,0.291,0.434,0.259,0.409,0.291,0.437,0.266,0.493,0.471,0.487,0.465,0.48,0.632,0.408,0.529,0.521,0.812,0.463,0.647,0.535,0.835,0.477,0.656,0.481,0.851,0.444,0.719,0.497,0.232,0.498,0.233,0.498,0.232,0.495,0.189,0.493,0.19,0.494,0.19,0.477,0.136,0.473,0.166,0.475,0.183,0.482,0.096
0.471,0.145,0.478,0.134,0.479,0.135,0.481,0.137,0.476,0.132,0.476,0.131,0.476,0.131,0.493,0.145,0.489,0.144,0.475,0.164,0.472,0.162,0.496,0.228,0.503,0.234,0.47,0.348,0.494,0.343,0.416,0.308,0.467,0.323,0.401,0.303,0.455,0.282,0.403,0.29,0.458,0.307,0.41,0.29,0.46,0.309,0.493,0.47,0.486,0.464,0.484,0.631,0.408,0.53,0.521,0.812,0.463,0.647,0.533,0.836,0.477,0.656,0.481,0.85,0.444,0.721,0.498,0.23,0.501,0.232,0.5,0.231,0.496,0.188,0.495,0.188,0.495,0.188,0.478,0.133,0.474,0.163,0.476,0.181,0.483,0.094
0.473,0.128,0.48,0.117,0.482,0.119,0.484,0.12,0.478,0.115,0.479,0.115,0.479,0.114,0.496,0.134,0.49,0.128,0.476,0.148,0.473,0.144,0.497,0.21,0.5,0.218,0.472,0.337,0.493,0.339,0.42,0.307,0.466,0.35,0.405,0.305,0.452,0.354,0.405,0.292,0.45,0.346,0.412,0.291,0.454,0.344,0.494,0.459,0.484,0.454,0.486,0.63,0.412,0.537,0.516,0.802,0.466,0.657,0.529,0.827,0.48,0.668,0.479,0.849,0.447,0.728,0.498,0.213,0.499,0.215,0.498,0.214,0.497,0.173,0.494,0.172,0.496,0.172,0.48,0.117,0.474,0.146,0.476,0.164,0.488,0.079
0.476,0.114,0.483,0.102,0.485,0.103,0.488,0.104,0.481,0.101,0.481,0.101,0.482,0.1,0.5,0.117,0.492,0.112,0.478,0.132,0.476,0.13,0.5,0.188,0.498,0.21,0.489,0.316,0.492,0.331,0.426,0.309,0.463,0.34,0.412,0.306,0.452,0.341,0.412,0.293,0.449,0.333,0.417,0.292,0.452,0.332,0.496,0.44,0.482,0.443,0.469,0.6,0.418,0.539,0.506,0.783,0.469,0.675,0.521,0.81,0.482,0.681,0.478,0.845,0.448,0.752,0.499,0.195,0.499,0.203,0.499,0.199,0.5,0.156,0.495,0.157,0.498,0.157,0.483,0.102,0.477,0.131,0.478,0.148,0.491,0.064
0.476,0.112,0.483,0.099,0.485,0.099,0.487,0.1,0.481,0.099,0.482,0.098,0.482,0.098,0.5,0.111,0.493,0.108,0.479,0.129,0.477,0.128,0.501,0.179,0.498,0.206,0.503,0.302,0.499,0.325,0.442,0.318,0.462,0.336,0.427,0.328,0.452,0.335,0.425,0.312,0.443,0.328,0.431,0.306,0.449,0.332,0.493,0.43,0.487,0.435,0.451,0.588,0.443,0.553,0.495,0.759,0.471,0.71,0.516,0.774,0.493,0.734,0.476,0.834,0.458,0.783,0.5,0.188,0.499,0.197,0.5,0.192,0.5,0.15,0.496,0.152,0.498,0.151,0.484,0.098,0.478,0.128,0.48,0.145,0.491,0.06
