0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,0.0,0.0,0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0
1.523,1.202,0.06,0.036,2.99,2.703,2.679,2.413,0.622,2.795,0.405,0.084
1.338,2.591,0.119,0.026,3.054,2.467,2.796,2.015,1.935,1.816,1.325,0.071
1.222,0.754,0.222,0.078,3.053,2.304,2.779,1.863,3.036,0.881,0.35,0.118
1.207,0.639,0.254,0.105,3.08,2.237,2.84,1.759,2.447,1.578,0.458,0.11
1.123,0.76,0.201,0.091,3.073,2.304,2.837,1.816,2.276,1.675,0.293,0.07
1.147,1.016,0.201,0.009,3.098,2.347,2.884,1.834,2.224,1.731,0.0,0.131
1.242,2.015,0.182,0.01,3.107,2.495,2.922,2.004,1.988,1.822,0.91,0.137
1.546,1.921,0.07,0.019,2.99,2.622,2.775,2.195,1.193,2.37,0.412,0.036
1.811,1.851,0.048,0.056,2.914,2.833,2.63,2.608,0.616,2.622,0.032,0.008
1.973,2.343,0.146,0.073,2.866,2.78,2.508,2.577,0.089,3.129,0.306,0.063
2.039,2.214,0.207,0.001,2.743,2.973,2.258,2.745,0.443,2.956,0.003,0.179
2.058,2.131,0.203,0.012,2.721,2.985,2.225,2.774,0.933,2.517,0.097,0.17
2.264,1.863,0.301,0.116,2.512,3.092,1.919,2.905,0.933,2.843,0.764,0.364
2.326,1.823,0.35,0.247,2.352,3.082,1.75,2.915,1.328,2.633,1.01,0.507
2.277,1.48,0.361,0.188,2.283,3.089,1.684,2.93,0.94,3.113,1.24,0.443
2.221,1.354,0.34,0.133,2.345,3.104,1.807,2.919,0.162,2.139,1.258,0.391
2.212,1.439,0.307,0.041,2.473,3.076,1.913,2.887,0.192,2.276,1.05,0.277
2.201,1.594,0.29,0.005,2.547,3.07,2.03,2.895,0.128,2.423,0.834,0.227
2.091,2.735,0.25,0.112,2.707,2.67,2.339,2.469,0.452,2.69,0.542,0.101
2.039,2.089,0.152,0.074,2.837,2.609,2.522,2.227,0.903,2.43,0.008,0.042
1.957,2.146,0.045,0.018,2.95,2.711,2.673,2.33,1.219,2.152,0.172,0.017
1.651,2.902,0.09,0.001,3.105,2.582,2.883,2.103,2.197,1.496,1.314,0.063
1.374,2.859,0.205,0.035,3.126,2.419,2.961,1.893,2.4,1.527,1.609,0.123
1.333,0.908,0.21,0.094,3.126,2.382,2.952,1.857,2.447,1.522,0.361,0.064
1.184,3.046,0.282,0.01,3.123,2.281,2.97,1.751,2.439,1.642,2.073,0.211
1.173,2.89,0.253,0.01,3.129,2.26,2.959,1.739,2.309,1.792,1.895,0.178
