0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
2.948,2.976,1.461,1.346,2.37,1.754,2.871,0.803,2.356,1.554,0.011,0.038
2.962,2.99,1.473,1.323,2.381,1.702,2.899,0.783,1.956,2.063,0.02,0.048
2.977,3.023,1.429,1.284,2.492,1.65,2.959,0.721,2.104,2.091,0.02,0.066
2.984,3.012,1.423,1.269,2.518,1.637,2.978,0.717,2.212,2.024,0.031,0.059
2.991,3.021,1.419,1.266,2.506,1.576,2.907,0.721,2.222,2.056,0.023,0.053
2.991,3.011,1.392,1.256,2.566,1.55,2.923,0.721,2.441,1.906,0.033,0.053
2.998,3.011,1.398,1.273,2.561,1.56,2.893,0.735,2.645,1.668,0.033,0.046
2.998,3.014,1.411,1.259,2.284,1.598,2.375,0.745,2.32,1.714,0.037,0.053
2.998,3.025,1.483,1.293,2.219,1.741,2.428,0.889,2.316,1.545,0.025,0.052
2.982,3.034,1.502,1.323,2.182,1.753,2.429,0.92,2.653,1.164,0.016,0.067
2.983,3.011,1.537,1.354,2.055,1.87,2.241,1.213,2.98,0.57,0.013,0.041
2.951,2.995,1.548,1.472,1.901,1.907,2.061,1.759,2.815,0.211,0.002,0.046
2.96,2.996,1.549,1.525,1.963,1.978,2.174,2.077,2.613,0.473,0.01,0.046
2.959,2.997,1.562,1.56,1.926,1.95,2.127,2.187,2.642,0.484,0.001,0.037
2.958,3.025,1.576,1.608,1.776,2.015,1.769,2.526,2.816,0.549,0.019,0.048
2.958,3.016,1.583,1.602,1.753,1.986,1.697,2.464,2.805,0.539,0.009,0.049
2.942,3.044,1.567,1.581,1.639,2.077,1.34,2.697,2.865,0.654,0.028,0.074
2.956,3.025,1.592,1.559,1.519,2.062,1.115,2.621,2.916,0.683,0.017,0.052
2.962,3.049,1.522,1.509,1.496,2.284,0.904,2.724,2.978,0.885,0.033,0.053
2.977,3.045,1.501,1.48,1.462,2.357,0.798,2.757,2.933,1.036,0.022,0.046
2.968,3.043,1.485,1.457,1.44,2.435,0.737,2.82,2.966,1.096,0.028,0.047
2.968,3.042,1.493,1.458,1.434,2.458,0.724,2.867,2.954,1.138,0.035,0.039
2.944,3.05,1.485,1.481,1.443,2.402,0.73,2.811,2.952,1.081,0.042,0.064
2.952,3.041,1.493,1.495,1.497,2.352,0.801,2.793,2.951,0.993,0.034,0.055
2.95,3.024,1.548,1.562,1.516,2.196,0.893,2.714,2.934,0.864,0.038,0.037
2.929,3.02,1.598,1.628,1.581,1.987,1.111,2.603,2.838,0.688,0.039,0.052
2.922,3.015,1.659,1.66,1.634,1.728,1.471,1.961,2.835,0.36,0.053,0.041
2.922,3.025,1.641,1.665,1.67,1.699,1.532,1.852,2.839,0.307,0.055,0.049
2.947,3.043,1.661,1.655,1.717,1.718,1.77,1.874,2.89,0.196,0.046,0.05
2.939,3.042,1.659,1.603,1.77,1.655,2.003,1.47,2.93,0.015,0.047,0.057
2.939,3.022,1.65,1.45,1.965,1.665,2.38,1.109,3.015,0.685,0.026,0.058
