0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.316,0.526,0.29,0.537,0.291,0.543,0.292,0.495,0.289,0.486,0.29,0.477,0.291,0.553,0.306,0.466,0.305,0.53,0.353,0.493,0.355,0.623,0.493,0.401,0.513,0.687,0.698,0.344,0.741,0.629,0.903,0.382,0.918,0.632,0.975,0.383,0.983,0.606,0.967,0.411,0.978,0.6,0.938,0.417,0.952,0.594,0.955,0.433,0.95,0.592,1.328,0.414,1.308,0.581,1.647,0.437,1.645,0.581,1.689,0.443,1.689,0.562,1.753,0.455,1.753,0.549,0.5,0.475,0.506,0.512,0.503,0.551,0.403,0.471,0.406,0.511,0.404,0.512,0.29,0.512,0.354,0.513,0.392,0.512,0.208
0.499,0.321,0.516,0.291,0.527,0.292,0.534,0.292,0.485,0.292,0.476,0.293,0.466,0.294,0.548,0.306,0.457,0.31,0.521,0.357,0.482,0.36,0.623,0.51,0.397,0.529,0.687,0.727,0.342,0.765,0.638,0.925,0.372,0.942,0.641,1.001,0.37,1.006,0.613,0.997,0.398,1.002,0.607,0.966,0.405,0.976,0.593,0.965,0.434,0.961,0.59,1.332,0.43,1.321,0.582,1.653,0.441,1.655,0.583,1.695,0.444,1.7,0.564,1.759,0.459,1.758,0.548,0.516,0.472,0.523,0.51,0.52,0.548,0.411,0.465,0.416,0.506,0.414,0.502,0.292,0.502,0.358,0.504,0.396,0.502,0.207
0.497,0.326,0.512,0.294,0.524,0.295,0.531,0.295,0.483,0.296,0.474,0.296,0.464,0.298,0.546,0.308,0.455,0.314,0.519,0.361,0.48,0.363,0.624,0.511,0.394,0.53,0.687,0.722,0.34,0.765,0.643,0.917,0.369,0.947,0.646,0.991,0.368,1.013,0.621,0.98,0.395,1.008,0.615,0.952,0.402,0.985,0.592,0.969,0.434,0.967,0.591,1.333,0.434,1.322,0.587,1.651,0.448,1.654,0.589,1.693,0.45,1.698,0.568,1.757,0.466,1.756,0.547,0.517,0.471,0.524,0.509,0.52,0.547,0.413,0.463,0.419,0.505,0.416,0.499,0.296,0.5,0.362,0.502,0.398,0.498,0.209
0.495,0.328,0.51,0.298,0.521,0.298,0.529,0.298,0.481,0.3,0.473,0.3,0.463,0.302,0.545,0.31,0.455,0.316,0.517,0.362,0.478,0.364,0.624,0.514,0.391,0.529,0.686,0.726,0.34,0.758,0.64,0.928,0.367,0.925,0.644,1.0,0.366,0.993,0.619,0.995,0.39,0.987,0.613,0.967,0.397,0.961,0.591,0.969,0.434,0.965,0.59,1.331,0.435,1.315,0.587,1.645,0.448,1.647,0.588,1.686,0.45,1.69,0.568,1.753,0.465,1.751,0.546,0.519,0.469,0.524,0.508,0.522,0.546,0.414,0.462,0.42,0.504,0.417,0.497,0.299,0.498,0.363,0.5,0.398,0.496,0.216
0.496,0.327,0.51,0.298,0.521,0.298,0.528,0.298,0.482,0.299,0.474,0.299,0.464,0.301,0.543,0.311,0.455,0.317,0.518,0.361,0.48,0.363,0.624,0.516,0.389,0.531,0.684,0.726,0.34,0.76,0.639,0.934,0.365,0.935,0.643,1.001,0.365,1.002,0.619,0.997,0.387,0.994,0.612,0.969,0.394,0.969,0.589,0.97,0.434,0.966,0.588,1.33,0.438,1.314,0.586,1.643,0.448,1.644,0.588,1.682,0.45,1.686,0.568,1.75,0.468,1.746,0.546,0.521,0.467,0.526,0.506,0.524,0.544,0.416,0.461,0.422,0.503,0.419,0.498,0.298,0.499,0.362,0.502,0.397,0.496,0.216
0.497,0.326,0.51,0.297,0.52,0.297,0.528,0.297,0.482,0.298,0.474,0.298,0.464,0.3,0.543,0.311,0.455,0.317,0.519,0.36,0.481,0.362,0.624,0.516,0.389,0.53,0.683,0.718,0.34,0.758,0.639,0.913,0.364,0.929,0.643,0.978,0.363,0.992,0.619,0.968,0.385,0.984,0.614,0.939,0.392,0.961,0.589,0.969,0.434,0.966,0.588,1.324,0.443,1.31,0.587,1.632,0.451,1.632,0.589,1.674,0.451,1.676,0.57,1.731,0.472,1.729,0.546,0.521,0.467,0.525,0.506,0.523,0.544,0.416,0.461,0.421,0.503,0.419,0.497,0.298,0.5,0.361,0.503,0.396,0.493,0.215
0.497,0.326,0.51,0.297,0.52,0.297,0.528,0.297,0.483,0.298,0.474,0.298,0.465,0.3,0.542,0.311,0.455,0.318,0.519,0.36,0.482,0.362,0.625,0.516,0.389,0.53,0.682,0.724,0.34,0.761,0.64,0.925,0.365,0.935,0.643,0.996,0.361,0.999,0.619,0.988,0.384,0.992,0.614,0.961,0.391,0.969,0.587,0.968,0.434,0.966,0.587,1.321,0.441,1.308,0.587,1.625,0.45,1.625,0.589,1.667,0.451,1.668,0.57,1.723,0.471,1.72,0.546,0.521,0.468,0.525,0.507,0.523,0.544,0.416,0.461,0.422,0.503,0.419,0.497,0.298,0.5,0.361,0.504,0.396,0.492,0.215
0.496,0.326,0.509,0.297,0.519,0.297,0.527,0.297,0.482,0.298,0.474,0.299,0.464,0.3,0.542,0.311,0.455,0.318,0.518,0.36,0.481,0.361,0.625,0.517,0.39,0.531,0.682,0.731,0.34,0.759,0.64,0.94,0.362,0.936,0.645,1.009,0.358,1.001,0.619,1.004,0.382,0.996,0.612,0.976,0.389,0.973,0.583,0.968,0.433,0.965,0.582,1.319,0.439,1.307,0.582,1.622,0.447,1.621,0.584,1.662,0.448,1.663,0.565,1.72,0.467,1.718,0.547,0.522,0.468,0.526,0.508,0.524,0.544,0.416,0.462,0.422,0.503,0.419,0.496,0.298,0.5,0.36,0.503,0.395,0.493,0.217
0.496,0.326,0.509,0.297,0.519,0.297,0.527,0.297,0.482,0.298,0.473,0.298,0.464,0.3,0.541,0.311,0.456,0.318,0.518,0.359,0.48,0.361,0.625,0.519,0.39,0.531,0.682,0.737,0.34,0.759,0.645,0.947,0.36,0.939,0.655,1.018,0.354,1.006,0.629,1.013,0.378,1.001,0.619,0.987,0.386,0.977,0.582,0.968,0.433,0.965,0.581,1.318,0.437,1.306,0.581,1.61,0.447,1.61,0.583,1.649,0.448,1.65,0.564,1.711,0.466,1.71,0.547,0.523,0.468,0.527,0.508,0.525,0.544,0.417,0.462,0.422,0.503,0.42,0.496,0.298,0.499,0.36,0.502,0.394,0.492,0.216
