0,1,2,3,4,5,6,7,8,9,10,11
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.767,2.871,0.295,0.316,3.046,2.964,3.114,2.98,1.61,1.6,0.24,0.405
2.803,2.87,0.294,0.318,3.059,2.968,3.134,3.007,1.597,1.592,0.205,0.405
2.829,2.869,0.296,0.319,3.062,2.969,3.141,3.018,1.594,1.592,0.179,0.407
2.839,2.869,0.294,0.319,3.07,2.975,3.136,3.034,1.588,1.585,0.168,0.407
2.855,2.87,0.291,0.317,3.07,2.979,3.129,3.047,1.579,1.585,0.162,0.397
2.851,2.87,0.293,0.317,3.076,2.983,3.126,3.057,1.576,1.582,0.161,0.401
2.85,2.871,0.294,0.317,3.079,2.989,3.123,3.07,1.573,1.576,0.159,0.402
2.85,2.866,0.294,0.317,3.079,2.986,3.123,3.067,1.573,1.579,0.165,0.402
2.856,2.866,0.294,0.317,3.081,2.986,3.117,3.067,1.57,1.579,0.159,0.402
2.855,2.866,0.295,0.317,3.081,2.983,3.12,3.06,1.57,1.582,0.159,0.403
2.855,2.867,0.295,0.316,3.082,2.986,3.12,3.07,1.57,1.579,0.159,0.402
2.855,2.868,0.295,0.316,3.082,2.989,3.12,3.077,1.57,1.576,0.158,0.402
2.855,2.868,0.295,0.316,3.082,2.989,3.12,3.077,1.57,1.576,0.158,0.403
2.845,2.869,0.301,0.315,3.082,2.992,3.12,3.083,1.57,1.573,0.163,0.407
2.849,2.869,0.302,0.315,3.082,2.995,3.12,3.09,1.57,1.57,0.157,0.408
2.849,2.869,0.302,0.314,3.082,2.995,3.12,3.09,1.57,1.57,0.157,0.407
2.849,2.869,0.303,0.314,3.082,2.998,3.12,3.093,1.57,1.567,0.157,0.408
2.848,2.874,0.304,0.312,3.082,2.996,3.12,3.093,1.563,1.573,0.156,0.405
2.848,2.875,0.305,0.311,3.082,2.996,3.12,3.093,1.563,1.573,0.156,0.405
2.847,2.875,0.305,0.311,3.082,2.992,3.12,3.086,1.563,1.576,0.156,0.405
2.847,2.875,0.306,0.311,3.082,2.989,3.12,3.08,1.563,1.579,0.156,0.405
2.847,2.876,0.306,0.309,3.082,2.99,3.12,3.08,1.563,1.579,0.157,0.403
2.847,2.876,0.306,0.309,3.082,2.99,3.12,3.08,1.557,1.585,0.157,0.403
2.847,2.876,0.308,0.309,3.076,2.99,3.123,3.08,1.56,1.585,0.157,0.403
2.847,2.876,0.308,0.309,3.076,2.99,3.123,3.08,1.56,1.585,0.157,0.403
2.847,2.876,0.308,0.309,3.076,2.987,3.123,3.073,1.56,1.588,0.157,0.403
2.841,2.876,0.308,0.309,3.076,2.987,3.123,3.073,1.56,1.588,0.162,0.403
2.841,2.876,0.308,0.306,3.076,2.992,3.123,3.076,1.56,1.586,0.162,0.403
2.841,2.882,0.308,0.307,3.076,2.992,3.123,3.076,1.566,1.579,0.156,0.404
2.841,2.882,0.308,0.307,3.076,2.992,3.123,3.076,1.566,1.579,0.156,0.404
2.842,2.882,0.307,0.307,3.076,2.992,3.123,3.077,1.566,1.579,0.156,0.403
2.841,2.882,0.307,0.307,3.076,2.992,3.123,3.076,1.566,1.579,0.157,0.403
2.836,2.882,0.31,0.307,3.079,2.992,3.123,3.076,1.566,1.579,0.157,0.409
2.837,2.882,0.309,0.306,3.079,2.996,3.123,3.083,1.566,1.576,0.157,0.408
2.836,2.886,0.311,0.308,3.077,2.996,3.123,3.083,1.566,1.576,0.152,0.41
2.836,2.886,0.311,0.308,3.08,2.996,3.12,3.083,1.563,1.576,0.151,0.41
2.837,2.885,0.31,0.308,3.083,2.993,3.117,3.08,1.56,1.579,0.151,0.409
2.837,2.886,0.313,0.308,3.08,2.988,3.117,3.067,1.561,1.585,0.151,0.409
2.833,2.886,0.314,0.311,3.089,2.99,3.111,3.07,1.561,1.579,0.145,0.418
2.819,2.886,0.317,0.31,3.092,2.987,3.108,3.071,1.552,1.588,0.156,0.422
2.819,2.887,0.317,0.31,3.094,2.987,3.105,3.071,1.549,1.588,0.156,0.422
2.82,2.887,0.315,0.309,3.094,2.984,3.105,3.068,1.549,1.591,0.157,0.419
2.82,2.889,0.317,0.307,3.089,2.981,3.108,3.062,1.553,1.594,0.157,0.417
2.821,2.89,0.316,0.304,3.089,2.987,3.105,3.065,1.553,1.591,0.157,0.415
2.822,2.89,0.315,0.306,3.089,2.981,3.098,3.058,1.546,1.601,0.157,0.413
2.818,2.89,0.317,0.306,3.091,2.978,3.098,3.049,1.547,1.604,0.157,0.418
2.818,2.891,0.317,0.305,3.091,2.978,3.095,3.049,1.547,1.604,0.158,0.417
2.818,2.891,0.317,0.305,3.092,2.978,3.091,3.049,1.547,1.604,0.157,0.417
2.81,2.896,0.317,0.303,3.094,2.98,3.091,3.042,1.547,1.604,0.157,0.42
2.81,2.896,0.317,0.306,3.094,2.974,3.087,3.039,1.547,1.607,0.157,0.42
2.811,2.897,0.316,0.305,3.094,2.974,3.084,3.036,1.54,1.614,0.157,0.418
2.81,2.893,0.317,0.307,3.094,2.979,3.084,3.039,1.54,1.611,0.157,0.424
2.811,2.903,0.316,0.301,3.091,2.979,3.09,3.039,1.543,1.611,0.151,0.418
2.811,2.903,0.317,0.302,3.091,2.979,3.087,3.036,1.543,1.611,0.15,0.419
2.806,2.904,0.317,0.302,3.099,2.982,3.084,3.042,1.54,1.608,0.15,0.423
2.807,2.915,0.316,0.299,3.099,2.973,3.084,3.033,1.547,1.607,0.144,0.417
2.793,2.915,0.323,0.299,3.104,2.973,3.078,3.033,1.538,1.614,0.149,0.427
2.794,2.91,0.323,0.302,3.104,2.972,3.081,3.026,1.538,1.617,0.148,0.432
2.794,2.91,0.323,0.302,3.104,2.972,3.081,3.027,1.544,1.611,0.148,0.432
2.793,2.909,0.324,0.303,3.104,2.972,3.081,3.026,1.544,1.611,0.147,0.434
2.793,2.908,0.324,0.304,3.104,2.972,3.077,3.026,1.544,1.611,0.148,0.434
2.793,2.915,0.327,0.303,3.096,2.972,3.087,3.026,1.55,1.611,0.142,0.434
2.789,2.914,0.327,0.304,3.098,2.972,3.087,3.026,1.543,1.617,0.142,0.438
2.789,2.914,0.327,0.305,3.098,2.972,3.087,3.026,1.55,1.611,0.142,0.439
