0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.368,0.128,0.344,0.129,0.34,0.129,0.337,0.129,0.343,0.13,0.339,0.13,0.335,0.144,0.308,0.147,0.302,0.157,0.368,0.159,0.369,0.235,0.35,0.261,0.312,0.28,0.64,0.309,0.59,0.307,0.922,0.329,0.857,0.279,0.948,0.305,0.87,0.276,0.939,0.301,0.879,0.287,0.931,0.313,0.879,0.475,0.443,0.477,0.409,0.654,0.599,0.653,0.577,0.836,0.738,0.82,0.703,0.873,0.731,0.854,0.689,0.839,0.896,0.827,0.841,0.244,0.337,0.252,0.325,0.248,0.331,0.194,0.323,0.2,0.313,0.197,0.318,0.13,0.34,0.158,0.368,0.176,0.369,0.092,0.302
0.14,0.369,0.129,0.345,0.129,0.342,0.129,0.339,0.129,0.344,0.13,0.34,0.131,0.336,0.144,0.31,0.147,0.302,0.157,0.369,0.159,0.37,0.235,0.35,0.261,0.312,0.281,0.64,0.309,0.591,0.307,0.921,0.329,0.858,0.277,0.95,0.305,0.871,0.275,0.939,0.301,0.879,0.287,0.931,0.313,0.879,0.475,0.442,0.477,0.407,0.654,0.596,0.654,0.577,0.834,0.734,0.82,0.705,0.871,0.724,0.853,0.69,0.842,0.889,0.832,0.842,0.244,0.337,0.252,0.325,0.248,0.331,0.194,0.324,0.2,0.313,0.197,0.318,0.13,0.341,0.158,0.37,0.176,0.37,0.092,0.304
0.14,0.37,0.129,0.346,0.129,0.343,0.13,0.34,0.129,0.345,0.13,0.341,0.131,0.337,0.144,0.312,0.147,0.302,0.157,0.37,0.159,0.371,0.235,0.35,0.261,0.312,0.281,0.641,0.309,0.592,0.307,0.921,0.33,0.859,0.276,0.952,0.305,0.872,0.274,0.94,0.302,0.879,0.287,0.931,0.314,0.879,0.475,0.442,0.477,0.406,0.654,0.595,0.654,0.578,0.833,0.732,0.82,0.707,0.87,0.721,0.853,0.691,0.844,0.885,0.833,0.842,0.244,0.337,0.252,0.325,0.248,0.331,0.194,0.325,0.2,0.313,0.197,0.319,0.13,0.342,0.158,0.37,0.176,0.371,0.092,0.305
0.14,0.371,0.129,0.347,0.13,0.344,0.13,0.341,0.13,0.346,0.13,0.342,0.131,0.338,0.144,0.314,0.147,0.303,0.157,0.37,0.159,0.371,0.235,0.351,0.261,0.312,0.281,0.642,0.31,0.592,0.307,0.92,0.33,0.86,0.276,0.953,0.305,0.872,0.274,0.941,0.302,0.879,0.287,0.931,0.314,0.879,0.475,0.442,0.477,0.405,0.654,0.593,0.654,0.578,0.833,0.731,0.82,0.709,0.87,0.719,0.852,0.691,0.845,0.883,0.834,0.842,0.244,0.338,0.252,0.325,0.248,0.332,0.194,0.326,0.2,0.314,0.197,0.32,0.13,0.343,0.158,0.37,0.176,0.37,0.094,0.307
0.14,0.371,0.129,0.348,0.13,0.345,0.13,0.342,0.13,0.346,0.13,0.343,0.131,0.339,0.144,0.315,0.147,0.304,0.157,0.371,0.159,0.372,0.235,0.351,0.261,0.312,0.281,0.642,0.31,0.592,0.307,0.92,0.33,0.86,0.276,0.953,0.305,0.872,0.273,0.941,0.302,0.879,0.287,0.931,0.314,0.879,0.475,0.441,0.477,0.404,0.653,0.593,0.654,0.578,0.832,0.73,0.82,0.709,0.869,0.718,0.852,0.692,0.845,0.882,0.835,0.843,0.244,0.338,0.252,0.325,0.248,0.332,0.194,0.326,0.2,0.314,0.197,0.32,0.13,0.344,0.158,0.372,0.176,0.372,0.094,0.308
0.139,0.373,0.129,0.349,0.13,0.346,0.13,0.343,0.129,0.348,0.13,0.344,0.131,0.34,0.144,0.315,0.146,0.304,0.157,0.372,0.158,0.373,0.235,0.351,0.261,0.312,0.281,0.642,0.31,0.593,0.308,0.92,0.33,0.861,0.275,0.954,0.305,0.872,0.273,0.941,0.302,0.879,0.287,0.931,0.314,0.879,0.475,0.441,0.477,0.404,0.653,0.592,0.654,0.579,0.831,0.73,0.82,0.71,0.869,0.717,0.851,0.692,0.845,0.881,0.835,0.844,0.244,0.338,0.252,0.325,0.248,0.332,0.194,0.326,0.199,0.314,0.196,0.32,0.13,0.345,0.158,0.372,0.176,0.372,0.094,0.309
0.139,0.373,0.129,0.349,0.129,0.347,0.13,0.344,0.129,0.349,0.13,0.345,0.131,0.34,0.144,0.315,0.146,0.304,0.156,0.373,0.157,0.374,0.235,0.351,0.261,0.312,0.281,0.642,0.31,0.593,0.308,0.92,0.33,0.861,0.275,0.954,0.305,0.873,0.273,0.941,0.302,0.879,0.287,0.931,0.314,0.88,0.475,0.441,0.477,0.404,0.653,0.592,0.655,0.579,0.831,0.73,0.82,0.71,0.868,0.716,0.851,0.692,0.845,0.88,0.835,0.845,0.244,0.338,0.252,0.325,0.248,0.332,0.194,0.326,0.199,0.314,0.196,0.32,0.13,0.346,0.156,0.374,0.174,0.374,0.094,0.31
0.138,0.375,0.128,0.351,0.129,0.348,0.13,0.345,0.129,0.35,0.129,0.346,0.13,0.342,0.144,0.315,0.145,0.305,0.155,0.374,0.157,0.376,0.235,0.351,0.261,0.312,0.281,0.643,0.31,0.593,0.308,0.919,0.33,0.861,0.275,0.954,0.305,0.873,0.273,0.941,0.302,0.879,0.287,0.931,0.314,0.88,0.475,0.441,0.477,0.404,0.653,0.592,0.654,0.579,0.83,0.729,0.819,0.71,0.868,0.715,0.85,0.691,0.846,0.88,0.835,0.845,0.244,0.338,0.252,0.325,0.248,0.332,0.194,0.326,0.199,0.315,0.196,0.321,0.129,0.347,0.156,0.375,0.174,0.375,0.094,0.311
0.137,0.376,0.128,0.352,0.129,0.349,0.129,0.346,0.128,0.351,0.129,0.347,0.13,0.343,0.143,0.316,0.145,0.305,0.155,0.375,0.156,0.377,0.235,0.352,0.261,0.312,0.281,0.643,0.31,0.593,0.308,0.919,0.33,0.861,0.275,0.954,0.305,0.873,0.273,0.942,0.302,0.879,0.287,0.931,0.314,0.88,0.475,0.441,0.477,0.404,0.652,0.592,0.654,0.579,0.83,0.729,0.819,0.711,0.868,0.715,0.85,0.691,0.846,0.88,0.835,0.845,0.244,0.339,0.252,0.325,0.248,0.332,0.193,0.327,0.199,0.315,0.196,0.321,0.129,0.348,0.156,0.376,0.174,0.376,0.095,0.312
