0,1,2,3,4,5,6,7,8,9,10,11
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0
3.083,3.045,1.047,0.978,2.794,2.802,3.077,3.026,2.229,0.867,0.021,0.017
3.077,3.046,1.047,0.986,2.797,2.791,3.085,3.033,2.224,0.863,0.017,0.013
3.077,3.05,1.048,0.991,2.8,2.781,3.088,3.031,2.223,0.855,0.014,0.013
3.078,3.043,1.052,0.991,2.803,2.774,3.098,3.036,2.218,0.851,0.019,0.016
3.078,3.043,1.055,0.995,2.794,2.767,3.088,3.033,2.224,0.848,0.019,0.016
3.082,3.043,1.055,0.996,2.797,2.765,3.098,3.03,2.22,0.845,0.022,0.016
3.082,3.043,1.055,0.996,2.797,2.767,3.098,3.036,2.22,0.848,0.022,0.016
3.083,3.043,1.056,0.996,2.797,2.765,3.097,3.033,2.22,0.845,0.023,0.016
3.082,3.043,1.059,0.996,2.79,2.765,3.091,3.037,2.223,0.845,0.023,0.016
3.075,3.04,1.054,0.992,2.795,2.767,3.097,3.042,2.22,0.848,0.019,0.016
3.075,3.032,1.054,0.988,2.795,2.765,3.097,3.037,2.22,0.845,0.023,0.02
3.068,3.013,1.045,0.976,2.809,2.767,3.109,3.039,2.186,0.873,0.027,0.028
3.064,2.998,1.046,0.969,2.801,2.765,3.103,3.033,2.189,0.87,0.034,0.032
3.056,2.998,1.037,0.964,2.813,2.765,3.107,3.034,2.186,0.866,0.027,0.031
3.044,2.99,1.031,0.96,2.812,2.765,3.105,3.034,2.187,0.864,0.027,0.028
3.025,2.951,1.02,0.93,2.812,2.767,3.101,3.028,2.186,0.864,0.03,0.043
3.02,2.936,1.015,0.914,2.815,2.771,3.107,3.025,2.183,0.864,0.033,0.051
2.975,2.905,0.995,0.877,2.825,2.802,3.11,3.038,2.142,0.906,0.023,0.047
2.951,2.891,0.984,0.866,2.828,2.801,3.116,3.038,2.112,0.93,0.016,0.044
2.919,2.83,0.984,0.838,2.828,2.813,3.13,3.055,2.088,0.958,0.025,0.065
2.9,2.807,0.971,0.821,2.842,2.82,3.138,3.05,2.078,0.961,0.026,0.068
2.867,2.776,0.959,0.813,2.835,2.801,3.116,3.023,2.049,0.985,0.018,0.072
2.835,2.768,0.948,0.814,2.831,2.794,3.107,3.013,2.072,0.963,0.003,0.064
2.792,2.704,0.928,0.784,2.832,2.782,3.108,3.0,2.058,0.972,0.004,0.084
2.776,2.701,0.913,0.774,2.839,2.795,3.099,3.002,2.028,1.01,0.004,0.079
2.722,2.652,0.885,0.764,2.84,2.776,3.087,2.993,2.059,0.984,0.015,0.085
2.692,2.635,0.879,0.758,2.813,2.771,3.058,2.98,2.091,0.962,0.018,0.075
2.629,2.606,0.845,0.749,2.836,2.778,3.078,2.977,2.08,0.958,0.029,0.051
2.623,2.609,0.834,0.752,2.836,2.774,3.062,2.968,2.062,0.983,0.033,0.046
