0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
2.985,3.035,0.168,0.139,3.052,3.004,3.11,3.119,1.704,1.428,0.017,0.068
2.941,2.998,0.197,0.161,3.028,3.015,3.117,3.106,1.626,1.525,0.001,0.058
2.941,2.979,0.206,0.166,3.031,3.026,3.087,3.1,1.756,1.39,0.012,0.049
2.932,2.97,0.21,0.179,3.039,3.015,3.064,3.107,1.726,1.401,0.002,0.04
2.958,2.969,0.192,0.174,3.042,3.017,3.047,3.094,1.714,1.407,0.012,0.023
2.967,2.977,0.183,0.179,3.034,3.003,3.041,3.08,1.7,1.421,0.005,0.015
2.977,2.974,0.182,0.181,3.012,2.984,3.053,3.08,1.727,1.407,0.025,0.022
2.985,2.983,0.169,0.172,3.023,2.991,3.046,3.073,1.841,1.293,0.025,0.023
2.994,3.021,0.152,0.154,3.023,2.995,3.046,3.054,1.841,1.306,0.005,0.032
3.01,3.045,0.097,0.114,3.033,3.003,3.04,3.041,1.995,1.159,0.009,0.026
3.035,3.034,0.025,0.047,3.047,3.111,3.033,2.989,1.558,1.51,0.012,0.013
2.975,2.95,0.008,0.016,3.071,3.104,3.039,3.049,1.564,1.53,0.014,0.011
2.95,2.878,0.084,0.055,3.07,3.131,3.07,3.075,1.552,1.531,0.041,0.03
2.937,2.919,0.093,0.095,3.073,3.122,3.087,3.095,1.421,1.668,0.022,0.004
2.816,2.952,0.134,0.106,3.108,3.126,3.116,3.102,1.545,1.537,0.155,0.019
2.618,2.498,0.164,0.167,3.133,3.104,3.114,3.101,2.099,0.997,0.139,0.019
2.346,2.297,0.197,0.178,3.057,3.067,3.092,3.086,2.33,0.82,0.049,0.0
2.053,2.004,0.237,0.174,3.002,2.965,3.089,3.039,2.99,0.206,0.004,0.045
1.826,1.961,0.322,0.167,2.896,2.917,3.022,3.009,2.402,0.762,0.246,0.111
1.771,2.63,0.312,0.065,2.86,2.86,3.008,2.988,2.674,0.506,1.067,0.209
1.493,1.361,0.346,0.163,2.802,2.756,2.978,2.94,2.857,0.216,0.029,0.161
1.132,1.138,0.383,0.295,2.679,2.713,2.881,2.895,2.548,0.607,0.048,0.041
0.949,0.886,0.455,0.352,2.552,2.609,2.807,2.804,1.913,1.224,0.012,0.051
0.78,0.861,0.498,0.394,2.451,2.51,2.744,2.714,1.531,1.605,0.131,0.05
0.787,0.891,0.517,0.434,2.347,2.415,2.636,2.652,1.483,1.634,0.144,0.04
0.841,0.974,0.527,0.451,2.3,2.366,2.618,2.635,1.407,1.712,0.164,0.032
0.824,1.014,0.556,0.463,2.204,2.312,2.547,2.571,1.446,1.665,0.206,0.016
0.805,1.032,0.558,0.471,2.138,2.245,2.49,2.508,1.453,1.66,0.234,0.007
0.807,1.003,0.573,0.486,2.06,2.181,2.416,2.45,1.427,1.682,0.196,0.001
0.828,1.056,0.578,0.508,2.008,2.096,2.357,2.337,1.515,1.602,0.235,0.007
0.807,1.081,0.586,0.515,1.963,2.066,2.319,2.3,1.492,1.613,0.279,0.005
0.847,1.089,0.593,0.557,1.961,2.022,2.318,2.334,1.462,1.651,0.244,0.002
0.826,1.088,0.6,0.574,1.912,1.973,2.272,2.254,1.383,1.733,0.253,0.009
0.817,1.052,0.612,0.575,1.859,1.947,2.225,2.261,1.356,1.731,0.238,0.002
0.808,0.986,0.616,0.576,1.85,1.923,2.219,2.242,1.313,1.79,0.183,0.005
0.795,0.952,0.616,0.576,1.852,1.923,2.206,2.252,1.367,1.729,0.171,0.014
0.796,0.978,0.62,0.569,1.861,1.959,2.218,2.283,1.379,1.709,0.187,0.006
0.796,0.977,0.614,0.563,1.878,1.972,2.23,2.291,1.416,1.678,0.187,0.007
0.837,1.042,0.605,0.561,1.887,1.981,2.231,2.299,1.416,1.671,0.21,0.005
1.042,1.258,0.59,0.52,1.969,2.088,2.294,2.353,1.423,1.673,0.213,0.004
1.399,1.634,0.522,0.442,2.099,2.173,2.38,2.403,1.435,1.698,0.25,0.015
1.749,1.898,0.434,0.341,2.233,2.293,2.496,2.503,1.527,1.615,0.183,0.033
2.073,2.212,0.375,0.309,2.37,2.413,2.606,2.609,1.738,1.411,0.154,0.016
2.172,2.323,0.372,0.334,2.378,2.469,2.614,2.674,2.118,0.982,0.14,0.011
2.374,2.461,0.303,0.308,2.483,2.531,2.661,2.724,2.566,0.551,0.058,0.028
2.548,2.561,0.243,0.252,2.575,2.616,2.712,2.764,2.478,0.642,0.014,0.027
2.706,2.58,0.216,0.162,2.676,2.71,2.777,2.831,2.376,0.74,0.081,0.045
2.757,2.647,0.176,0.115,2.757,2.77,2.836,2.861,2.754,0.392,0.066,0.044
2.836,3.027,0.141,0.041,2.847,2.828,2.902,2.903,3.004,0.107,0.278,0.087
2.846,2.851,0.128,0.032,2.883,2.848,2.931,2.92,2.765,0.332,0.091,0.086
2.873,2.84,0.081,0.039,2.957,2.911,2.986,2.968,2.443,0.645,0.001,0.035
2.893,2.875,0.044,0.016,2.994,2.992,2.995,3.017,2.428,0.695,0.009,0.009
2.899,2.958,0.002,0.002,3.04,3.055,3.015,3.046,2.729,0.409,0.044,0.015
2.957,2.977,0.012,0.021,3.087,3.114,3.047,3.087,2.009,1.121,0.013,0.006
2.978,2.98,0.028,0.031,3.087,3.137,3.048,3.101,1.546,1.571,0.022,0.023
2.985,2.992,0.028,0.053,3.108,3.132,3.063,3.108,1.558,1.571,0.001,0.007
3.002,3.034,0.045,0.057,3.123,3.128,3.064,3.109,1.565,1.571,0.016,0.015
3.046,3.064,0.042,0.063,3.133,3.107,3.07,3.109,1.768,1.367,0.002,0.015
3.046,3.083,0.064,0.067,3.125,3.087,3.083,3.109,1.781,1.36,0.004,0.033
3.045,3.062,0.076,0.09,3.084,3.038,3.102,3.134,1.881,1.253,0.007,0.024
